产品参考编码,产品/名称,产品/SKU 优先级,计量单位,包装数量,位置,位置/位置名称,可用数量,预留数量,数量,库位类型,长（cm),宽(cm),高(cm),状态,仓库,货架,位置.1,层数
,,,,,,A056140,,,,存货位,135.0,90.0,120.0,可用,A,5.0,61.0,40.0
,,,,,,A056150,,,,存货位,135.0,90.0,120.0,可用,A,5.0,61.0,50.0
,,,,,,A056200,,,,存货位,135.0,90.0,160.0,可用,A,5.0,62.0,0.0
,,,,,,A056210,,,,存货位,135.0,90.0,120.0,可用,A,5.0,62.0,10.0
,,,,,,A056220,,,,存货位,135.0,90.0,120.0,可用,A,5.0,62.0,20.0
,,,,,,A056230,,,,存货位,135.0,90.0,120.0,可用,A,5.0,62.0,30.0
,,,,,,A056240,,,,存货位,135.0,90.0,120.0,可用,A,5.0,62.0,40.0
,,,,,,A056250,,,,存货位,135.0,90.0,120.0,可用,A,5.0,62.0,50.0
,,,,,,A056300,,,,存货位,135.0,90.0,160.0,可用,A,5.0,63.0,0.0
,,,,,,A056310,,,,存货位,135.0,90.0,120.0,可用,A,5.0,63.0,10.0
,,,,,,A056320,,,,存货位,135.0,90.0,120.0,可用,A,5.0,63.0,20.0
,,,,,,A056330,,,,存货位,135.0,90.0,120.0,可用,A,5.0,63.0,30.0
,,,,,,A056340,,,,存货位,135.0,90.0,120.0,可用,A,5.0,63.0,40.0
,,,,,,A056350,,,,存货位,135.0,90.0,120.0,可用,A,5.0,63.0,50.0
,,,,,,A056400,,,,存货位,135.0,90.0,160.0,可用,A,5.0,64.0,0.0
,,,,,,A056410,,,,存货位,135.0,90.0,120.0,可用,A,5.0,64.0,10.0
,,,,,,A056420,,,,存货位,135.0,90.0,120.0,可用,A,5.0,64.0,20.0
,,,,,,A056430,,,,存货位,135.0,90.0,120.0,可用,A,5.0,64.0,30.0
,,,,,,A056440,,,,存货位,135.0,90.0,120.0,可用,A,5.0,64.0,40.0
,,,,,,A056450,,,,存货位,135.0,90.0,120.0,可用,A,5.0,64.0,50.0
,,,,,,A056500,,,,存货位,135.0,90.0,160.0,可用,A,5.0,65.0,0.0
,,,,,,A056510,,,,存货位,135.0,90.0,120.0,可用,A,5.0,65.0,10.0
,,,,,,A056520,,,,存货位,135.0,90.0,120.0,可用,A,5.0,65.0,20.0
,,,,,,A056530,,,,存货位,135.0,90.0,120.0,可用,A,5.0,65.0,30.0
,,,,,,A056540,,,,存货位,135.0,90.0,120.0,可用,A,5.0,65.0,40.0
,,,,,,A056550,,,,存货位,135.0,90.0,120.0,可用,A,5.0,65.0,50.0
,,,,,,A056600,,,,存货位,135.0,90.0,160.0,可用,A,5.0,66.0,0.0
,,,,,,A056610,,,,存货位,135.0,90.0,120.0,可用,A,5.0,66.0,10.0
,,,,,,A056620,,,,存货位,135.0,90.0,120.0,可用,A,5.0,66.0,20.0
,,,,,,A056630,,,,存货位,135.0,90.0,120.0,可用,A,5.0,66.0,30.0
,,,,,,A056640,,,,存货位,135.0,90.0,120.0,可用,A,5.0,66.0,40.0
,,,,,,A056650,,,,存货位,135.0,90.0,120.0,可用,A,5.0,66.0,50.0
,,,,,,A056700,,,,存货位,135.0,90.0,160.0,可用,A,5.0,67.0,0.0
,,,,,,A056710,,,,存货位,135.0,90.0,120.0,可用,A,5.0,67.0,10.0
,,,,,,A056720,,,,存货位,135.0,90.0,120.0,可用,A,5.0,67.0,20.0
,,,,,,A056730,,,,存货位,135.0,90.0,120.0,可用,A,5.0,67.0,30.0
,,,,,,A056740,,,,存货位,135.0,90.0,120.0,可用,A,5.0,67.0,40.0
,,,,,,A056750,,,,存货位,135.0,90.0,120.0,可用,A,5.0,67.0,50.0
,,,,,,A056800,,,,存货位,135.0,90.0,160.0,可用,A,5.0,68.0,0.0
,,,,,,A056810,,,,存货位,135.0,90.0,120.0,可用,A,5.0,68.0,10.0
,,,,,,A056820,,,,存货位,135.0,90.0,120.0,可用,A,5.0,68.0,20.0
,,,,,,A056830,,,,存货位,135.0,90.0,120.0,可用,A,5.0,68.0,30.0
,,,,,,A056840,,,,存货位,135.0,90.0,120.0,可用,A,5.0,68.0,40.0
,,,,,,A056850,,,,存货位,135.0,90.0,120.0,可用,A,5.0,68.0,50.0
,,,,,,A056900,,,,存货位,135.0,90.0,160.0,可用,A,5.0,69.0,0.0
,,,,,,A056910,,,,存货位,135.0,90.0,120.0,可用,A,5.0,69.0,10.0
,,,,,,A056920,,,,存货位,135.0,90.0,120.0,可用,A,5.0,69.0,20.0
,,,,,,A056930,,,,存货位,135.0,90.0,120.0,可用,A,5.0,69.0,30.0
,,,,,,A056940,,,,存货位,135.0,90.0,120.0,可用,A,5.0,69.0,40.0
,,,,,,A056950,,,,存货位,135.0,90.0,120.0,可用,A,5.0,69.0,50.0
,,,,,,A057000,,,,存货位,135.0,90.0,160.0,可用,A,5.0,70.0,0.0
,,,,,,A057010,,,,存货位,135.0,90.0,120.0,可用,A,5.0,70.0,10.0
,,,,,,A057020,,,,存货位,135.0,90.0,120.0,可用,A,5.0,70.0,20.0
,,,,,,A057030,,,,存货位,135.0,90.0,120.0,可用,A,5.0,70.0,30.0
,,,,,,A057040,,,,存货位,135.0,90.0,120.0,可用,A,5.0,70.0,40.0
,,,,,,A057050,,,,存货位,135.0,90.0,120.0,可用,A,5.0,70.0,50.0
,,,,,,A057100,,,,存货位,135.0,90.0,160.0,可用,A,5.0,71.0,0.0
,,,,,,A057110,,,,存货位,135.0,90.0,120.0,可用,A,5.0,71.0,10.0
,,,,,,A057120,,,,存货位,135.0,90.0,120.0,可用,A,5.0,71.0,20.0
,,,,,,A057130,,,,存货位,135.0,90.0,120.0,可用,A,5.0,71.0,30.0
,,,,,,A057140,,,,存货位,135.0,90.0,120.0,可用,A,5.0,71.0,40.0
,,,,,,A057150,,,,存货位,135.0,90.0,120.0,可用,A,5.0,71.0,50.0
,,,,,,A057200,,,,存货位,135.0,90.0,160.0,可用,A,5.0,72.0,0.0
,,,,,,A057210,,,,存货位,135.0,90.0,120.0,可用,A,5.0,72.0,10.0
,,,,,,A057220,,,,存货位,135.0,90.0,120.0,可用,A,5.0,72.0,20.0
,,,,,,A057230,,,,存货位,135.0,90.0,120.0,可用,A,5.0,72.0,30.0
,,,,,,A057240,,,,存货位,135.0,90.0,120.0,可用,A,5.0,72.0,40.0
,,,,,,A057250,,,,存货位,135.0,90.0,120.0,可用,A,5.0,72.0,50.0
,,,,,,A060100,,,,存货位,210.0,90.0,160.0,可用,A,6.0,1.0,0.0
,,,,,,A060110,,,,存货位,210.0,90.0,120.0,可用,A,6.0,1.0,10.0
,,,,,,A060120,,,,存货位,210.0,90.0,120.0,可用,A,6.0,1.0,20.0
,,,,,,A060130,,,,存货位,210.0,90.0,120.0,可用,A,6.0,1.0,30.0
,,,,,,A060140,,,,存货位,210.0,90.0,120.0,可用,A,6.0,1.0,40.0
,,,,,,A060150,,,,存货位,210.0,90.0,120.0,可用,A,6.0,1.0,50.0
,,,,,,A060200,,,,存货位,210.0,90.0,160.0,可用,A,6.0,2.0,0.0
,,,,,,A060210,,,,存货位,210.0,90.0,120.0,可用,A,6.0,2.0,10.0
,,,,,,A060220,,,,存货位,210.0,90.0,120.0,可用,A,6.0,2.0,20.0
,,,,,,A060230,,,,存货位,210.0,90.0,120.0,可用,A,6.0,2.0,30.0
,,,,,,A060240,,,,存货位,210.0,90.0,120.0,可用,A,6.0,2.0,40.0
,,,,,,A060250,,,,存货位,210.0,90.0,120.0,可用,A,6.0,2.0,50.0
,,,,,,A060300,,,,存货位,210.0,90.0,160.0,可用,A,6.0,3.0,0.0
,,,,,,A060310,,,,存货位,210.0,90.0,120.0,可用,A,6.0,3.0,10.0
,,,,,,A060320,,,,存货位,210.0,90.0,120.0,可用,A,6.0,3.0,20.0
,,,,,,A060330,,,,存货位,210.0,90.0,120.0,可用,A,6.0,3.0,30.0
,,,,,,A060340,,,,存货位,210.0,90.0,120.0,可用,A,6.0,3.0,40.0
,,,,,,A060350,,,,存货位,210.0,90.0,120.0,可用,A,6.0,3.0,50.0
,,,,,,A060400,,,,存货位,210.0,90.0,160.0,可用,A,6.0,4.0,0.0
,,,,,,A060410,,,,存货位,210.0,90.0,120.0,可用,A,6.0,4.0,10.0
,,,,,,A060420,,,,存货位,210.0,90.0,120.0,可用,A,6.0,4.0,20.0
,,,,,,A060430,,,,存货位,210.0,90.0,120.0,可用,A,6.0,4.0,30.0
,,,,,,A060440,,,,存货位,210.0,90.0,120.0,可用,A,6.0,4.0,40.0
,,,,,,A060450,,,,存货位,210.0,90.0,120.0,可用,A,6.0,4.0,50.0
,,,,,,A060500,,,,存货位,210.0,90.0,160.0,可用,A,6.0,5.0,0.0
,,,,,,A060510,,,,存货位,210.0,90.0,120.0,可用,A,6.0,5.0,10.0
,,,,,,A060520,,,,存货位,210.0,90.0,120.0,可用,A,6.0,5.0,20.0
,,,,,,A060530,,,,存货位,210.0,90.0,120.0,可用,A,6.0,5.0,30.0
,,,,,,A060540,,,,存货位,210.0,90.0,120.0,可用,A,6.0,5.0,40.0
,,,,,,A060550,,,,存货位,210.0,90.0,120.0,可用,A,6.0,5.0,50.0
,,,,,,A060600,,,,存货位,210.0,90.0,160.0,可用,A,6.0,6.0,0.0
,,,,,,A060610,,,,存货位,210.0,90.0,120.0,可用,A,6.0,6.0,10.0
,,,,,,A060620,,,,存货位,210.0,90.0,120.0,可用,A,6.0,6.0,20.0
,,,,,,A060630,,,,存货位,210.0,90.0,120.0,可用,A,6.0,6.0,30.0
,,,,,,A060640,,,,存货位,210.0,90.0,120.0,可用,A,6.0,6.0,40.0
,,,,,,A060650,,,,存货位,210.0,90.0,120.0,可用,A,6.0,6.0,50.0
,,,,,,A060700,,,,存货位,210.0,90.0,160.0,可用,A,6.0,7.0,0.0
,,,,,,A060710,,,,存货位,210.0,90.0,120.0,可用,A,6.0,7.0,10.0
,,,,,,A060720,,,,存货位,210.0,90.0,120.0,可用,A,6.0,7.0,20.0
,,,,,,A060730,,,,存货位,210.0,90.0,120.0,可用,A,6.0,7.0,30.0
,,,,,,A060740,,,,存货位,210.0,90.0,120.0,可用,A,6.0,7.0,40.0
,,,,,,A060750,,,,存货位,210.0,90.0,120.0,可用,A,6.0,7.0,50.0
,,,,,,A060800,,,,存货位,210.0,90.0,160.0,可用,A,6.0,8.0,0.0
,,,,,,A060810,,,,存货位,210.0,90.0,120.0,可用,A,6.0,8.0,10.0
,,,,,,A060820,,,,存货位,210.0,90.0,120.0,可用,A,6.0,8.0,20.0
,,,,,,A060830,,,,存货位,210.0,90.0,120.0,可用,A,6.0,8.0,30.0
,,,,,,A060840,,,,存货位,210.0,90.0,120.0,可用,A,6.0,8.0,40.0
,,,,,,A060850,,,,存货位,210.0,90.0,120.0,可用,A,6.0,8.0,50.0
,,,,,,A060900,,,,存货位,210.0,90.0,160.0,可用,A,6.0,9.0,0.0
,,,,,,A060910,,,,存货位,210.0,90.0,120.0,可用,A,6.0,9.0,10.0
,,,,,,A060920,,,,存货位,210.0,90.0,120.0,可用,A,6.0,9.0,20.0
,,,,,,A060930,,,,存货位,210.0,90.0,120.0,可用,A,6.0,9.0,30.0
,,,,,,A060940,,,,存货位,210.0,90.0,120.0,可用,A,6.0,9.0,40.0
,,,,,,A060950,,,,存货位,210.0,90.0,120.0,可用,A,6.0,9.0,50.0
,,,,,,A061000,,,,存货位,210.0,90.0,160.0,可用,A,6.0,10.0,0.0
,,,,,,A061010,,,,存货位,210.0,90.0,120.0,可用,A,6.0,10.0,10.0
,,,,,,A061020,,,,存货位,210.0,90.0,120.0,可用,A,6.0,10.0,20.0
,,,,,,A061030,,,,存货位,210.0,90.0,120.0,可用,A,6.0,10.0,30.0
,,,,,,A061040,,,,存货位,210.0,90.0,120.0,可用,A,6.0,10.0,40.0
,,,,,,A061050,,,,存货位,210.0,90.0,120.0,可用,A,6.0,10.0,50.0
,,,,,,A061100,,,,存货位,210.0,90.0,160.0,可用,A,6.0,11.0,0.0
,,,,,,A061110,,,,存货位,210.0,90.0,120.0,可用,A,6.0,11.0,10.0
,,,,,,A061120,,,,存货位,210.0,90.0,120.0,可用,A,6.0,11.0,20.0
,,,,,,A061130,,,,存货位,210.0,90.0,120.0,可用,A,6.0,11.0,30.0
,,,,,,A061140,,,,存货位,210.0,90.0,120.0,可用,A,6.0,11.0,40.0
,,,,,,A061150,,,,存货位,210.0,90.0,120.0,可用,A,6.0,11.0,50.0
,,,,,,A061200,,,,存货位,210.0,90.0,160.0,可用,A,6.0,12.0,0.0
,,,,,,A061210,,,,存货位,210.0,90.0,120.0,可用,A,6.0,12.0,10.0
,,,,,,A061220,,,,存货位,210.0,90.0,120.0,可用,A,6.0,12.0,20.0
,,,,,,A061230,,,,存货位,210.0,90.0,120.0,可用,A,6.0,12.0,30.0
,,,,,,A061240,,,,存货位,210.0,90.0,120.0,可用,A,6.0,12.0,40.0
,,,,,,A061250,,,,存货位,210.0,90.0,120.0,可用,A,6.0,12.0,50.0
,,,,,,A061300,,,,存货位,210.0,90.0,160.0,可用,A,6.0,13.0,0.0
,,,,,,A061310,,,,存货位,210.0,90.0,120.0,可用,A,6.0,13.0,10.0
,,,,,,A061320,,,,存货位,210.0,90.0,120.0,可用,A,6.0,13.0,20.0
,,,,,,A061330,,,,存货位,210.0,90.0,120.0,可用,A,6.0,13.0,30.0
,,,,,,A061340,,,,存货位,210.0,90.0,120.0,可用,A,6.0,13.0,40.0
,,,,,,A061350,,,,存货位,210.0,90.0,120.0,可用,A,6.0,13.0,50.0
,,,,,,A061400,,,,存货位,210.0,90.0,160.0,可用,A,6.0,14.0,0.0
,,,,,,A061410,,,,存货位,210.0,90.0,120.0,可用,A,6.0,14.0,10.0
,,,,,,A061420,,,,存货位,210.0,90.0,120.0,可用,A,6.0,14.0,20.0
,,,,,,A061430,,,,存货位,210.0,90.0,120.0,可用,A,6.0,14.0,30.0
,,,,,,A061440,,,,存货位,210.0,90.0,120.0,可用,A,6.0,14.0,40.0
,,,,,,A061450,,,,存货位,210.0,90.0,120.0,可用,A,6.0,14.0,50.0
,,,,,,A061500,,,,存货位,210.0,90.0,160.0,可用,A,6.0,15.0,0.0
,,,,,,A061510,,,,存货位,210.0,90.0,120.0,可用,A,6.0,15.0,10.0
,,,,,,A061520,,,,存货位,210.0,90.0,120.0,可用,A,6.0,15.0,20.0
,,,,,,A061530,,,,存货位,210.0,90.0,120.0,可用,A,6.0,15.0,30.0
,,,,,,A061540,,,,存货位,210.0,90.0,120.0,可用,A,6.0,15.0,40.0
,,,,,,A061550,,,,存货位,210.0,90.0,120.0,可用,A,6.0,15.0,50.0
,,,,,,A061600,,,,存货位,210.0,90.0,160.0,可用,A,6.0,16.0,0.0
,,,,,,A061610,,,,存货位,210.0,90.0,120.0,可用,A,6.0,16.0,10.0
,,,,,,A061620,,,,存货位,210.0,90.0,120.0,可用,A,6.0,16.0,20.0
,,,,,,A061630,,,,存货位,210.0,90.0,120.0,可用,A,6.0,16.0,30.0
,,,,,,A061640,,,,存货位,210.0,90.0,120.0,可用,A,6.0,16.0,40.0
,,,,,,A061650,,,,存货位,210.0,90.0,120.0,可用,A,6.0,16.0,50.0
,,,,,,A061700,,,,存货位,210.0,90.0,160.0,可用,A,6.0,17.0,0.0
,,,,,,A061710,,,,存货位,210.0,90.0,120.0,可用,A,6.0,17.0,10.0
,,,,,,A061720,,,,存货位,210.0,90.0,120.0,可用,A,6.0,17.0,20.0
,,,,,,A061730,,,,存货位,210.0,90.0,120.0,可用,A,6.0,17.0,30.0
,,,,,,A061740,,,,存货位,210.0,90.0,120.0,可用,A,6.0,17.0,40.0
,,,,,,A061750,,,,存货位,210.0,90.0,120.0,可用,A,6.0,17.0,50.0
,,,,,,A061800,,,,存货位,210.0,90.0,160.0,可用,A,6.0,18.0,0.0
,,,,,,A061810,,,,存货位,210.0,90.0,120.0,可用,A,6.0,18.0,10.0
,,,,,,A061820,,,,存货位,210.0,90.0,120.0,可用,A,6.0,18.0,20.0
,,,,,,A061830,,,,存货位,210.0,90.0,120.0,可用,A,6.0,18.0,30.0
,,,,,,A061840,,,,存货位,210.0,90.0,120.0,可用,A,6.0,18.0,40.0
,,,,,,A061850,,,,存货位,210.0,90.0,120.0,可用,A,6.0,18.0,50.0
,,,,,,A061900,,,,存货位,210.0,90.0,160.0,可用,A,6.0,19.0,0.0
,,,,,,A061910,,,,存货位,210.0,90.0,120.0,可用,A,6.0,19.0,10.0
,,,,,,A061920,,,,存货位,210.0,90.0,120.0,可用,A,6.0,19.0,20.0
,,,,,,A061930,,,,存货位,210.0,90.0,120.0,可用,A,6.0,19.0,30.0
,,,,,,A061940,,,,存货位,210.0,90.0,120.0,可用,A,6.0,19.0,40.0
,,,,,,A061950,,,,存货位,210.0,90.0,120.0,可用,A,6.0,19.0,50.0
,,,,,,A062000,,,,存货位,210.0,90.0,160.0,可用,A,6.0,20.0,0.0
,,,,,,A062010,,,,存货位,210.0,90.0,120.0,可用,A,6.0,20.0,10.0
,,,,,,A062020,,,,存货位,210.0,90.0,120.0,可用,A,6.0,20.0,20.0
,,,,,,A062030,,,,存货位,210.0,90.0,120.0,可用,A,6.0,20.0,30.0
,,,,,,A062040,,,,存货位,210.0,90.0,120.0,可用,A,6.0,20.0,40.0
,,,,,,A062050,,,,存货位,210.0,90.0,120.0,可用,A,6.0,20.0,50.0
,,,,,,A062100,,,,存货位,210.0,90.0,160.0,可用,A,6.0,21.0,0.0
,,,,,,A062110,,,,存货位,210.0,90.0,120.0,可用,A,6.0,21.0,10.0
,,,,,,A062120,,,,存货位,210.0,90.0,120.0,可用,A,6.0,21.0,20.0
,,,,,,A062130,,,,存货位,210.0,90.0,120.0,可用,A,6.0,21.0,30.0
,,,,,,A062140,,,,存货位,210.0,90.0,120.0,可用,A,6.0,21.0,40.0
,,,,,,A062150,,,,存货位,210.0,90.0,120.0,可用,A,6.0,21.0,50.0
,,,,,,A062200,,,,存货位,210.0,90.0,160.0,可用,A,6.0,22.0,0.0
,,,,,,A062210,,,,存货位,210.0,90.0,120.0,可用,A,6.0,22.0,10.0
,,,,,,A062220,,,,存货位,210.0,90.0,120.0,可用,A,6.0,22.0,20.0
,,,,,,A062230,,,,存货位,210.0,90.0,120.0,可用,A,6.0,22.0,30.0
,,,,,,A062240,,,,存货位,210.0,90.0,120.0,可用,A,6.0,22.0,40.0
,,,,,,A062250,,,,存货位,210.0,90.0,120.0,可用,A,6.0,22.0,50.0
,,,,,,A062300,,,,存货位,210.0,90.0,160.0,可用,A,6.0,23.0,0.0
,,,,,,A062310,,,,存货位,210.0,90.0,120.0,可用,A,6.0,23.0,10.0
,,,,,,A062320,,,,存货位,210.0,90.0,120.0,可用,A,6.0,23.0,20.0
,,,,,,A062330,,,,存货位,210.0,90.0,120.0,可用,A,6.0,23.0,30.0
,,,,,,A062340,,,,存货位,210.0,90.0,120.0,可用,A,6.0,23.0,40.0
,,,,,,A062350,,,,存货位,210.0,90.0,120.0,可用,A,6.0,23.0,50.0
,,,,,,A062400,,,,存货位,210.0,90.0,160.0,可用,A,6.0,24.0,0.0
,,,,,,A062410,,,,存货位,210.0,90.0,120.0,可用,A,6.0,24.0,10.0
,,,,,,A062420,,,,存货位,210.0,90.0,120.0,可用,A,6.0,24.0,20.0
,,,,,,A062430,,,,存货位,210.0,90.0,120.0,可用,A,6.0,24.0,30.0
,,,,,,A062440,,,,存货位,210.0,90.0,120.0,可用,A,6.0,24.0,40.0
,,,,,,A062450,,,,存货位,210.0,90.0,120.0,可用,A,6.0,24.0,50.0
,,,,,,A062500,,,,存货位,210.0,90.0,160.0,可用,A,6.0,25.0,0.0
,,,,,,A062510,,,,存货位,210.0,90.0,120.0,可用,A,6.0,25.0,10.0
,,,,,,A062520,,,,存货位,210.0,90.0,120.0,可用,A,6.0,25.0,20.0
,,,,,,A062530,,,,存货位,210.0,90.0,120.0,可用,A,6.0,25.0,30.0
,,,,,,A062540,,,,存货位,210.0,90.0,120.0,可用,A,6.0,25.0,40.0
,,,,,,A062550,,,,存货位,210.0,90.0,120.0,可用,A,6.0,25.0,50.0
,,,,,,A062600,,,,存货位,210.0,90.0,160.0,可用,A,6.0,26.0,0.0
,,,,,,A062610,,,,存货位,210.0,90.0,120.0,可用,A,6.0,26.0,10.0
,,,,,,A062620,,,,存货位,210.0,90.0,120.0,可用,A,6.0,26.0,20.0
,,,,,,A062630,,,,存货位,210.0,90.0,120.0,可用,A,6.0,26.0,30.0
,,,,,,A062640,,,,存货位,210.0,90.0,120.0,可用,A,6.0,26.0,40.0
,,,,,,A062650,,,,存货位,210.0,90.0,120.0,可用,A,6.0,26.0,50.0
,,,,,,A062700,,,,存货位,210.0,90.0,160.0,可用,A,6.0,27.0,0.0
,,,,,,A062710,,,,存货位,210.0,90.0,120.0,可用,A,6.0,27.0,10.0
,,,,,,A062720,,,,存货位,210.0,90.0,120.0,可用,A,6.0,27.0,20.0
,,,,,,A062730,,,,存货位,210.0,90.0,120.0,可用,A,6.0,27.0,30.0
,,,,,,A062740,,,,存货位,210.0,90.0,120.0,可用,A,6.0,27.0,40.0
,,,,,,A062750,,,,存货位,210.0,90.0,120.0,可用,A,6.0,27.0,50.0
,,,,,,A062800,,,,存货位,210.0,90.0,160.0,不可用,A,6.0,28.0,0.0
,,,,,,A062810,,,,存货位,210.0,90.0,120.0,不可用,A,6.0,28.0,10.0
,,,,,,A062820,,,,存货位,210.0,90.0,120.0,不可用,A,6.0,28.0,20.0
,,,,,,A062830,,,,存货位,210.0,90.0,120.0,可用,A,6.0,28.0,30.0
,,,,,,A062840,,,,存货位,210.0,90.0,120.0,可用,A,6.0,28.0,40.0
,,,,,,A062850,,,,存货位,210.0,90.0,120.0,可用,A,6.0,28.0,50.0
,,,,,,A062900,,,,存货位,210.0,90.0,160.0,不可用,A,6.0,29.0,0.0
,,,,,,A062910,,,,存货位,210.0,90.0,120.0,不可用,A,6.0,29.0,10.0
,,,,,,A062920,,,,存货位,210.0,90.0,120.0,不可用,A,6.0,29.0,20.0
,,,,,,A062930,,,,存货位,210.0,90.0,120.0,可用,A,6.0,29.0,30.0
,,,,,,A062940,,,,存货位,210.0,90.0,120.0,可用,A,6.0,29.0,40.0
,,,,,,A062950,,,,存货位,210.0,90.0,120.0,可用,A,6.0,29.0,50.0
,,,,,,A063000,,,,存货位,210.0,90.0,160.0,不可用,A,6.0,30.0,0.0
,,,,,,A063010,,,,存货位,210.0,90.0,120.0,不可用,A,6.0,30.0,10.0
,,,,,,A063020,,,,存货位,210.0,90.0,120.0,不可用,A,6.0,30.0,20.0
,,,,,,A063030,,,,存货位,210.0,90.0,120.0,可用,A,6.0,30.0,30.0
,,,,,,A063040,,,,存货位,210.0,90.0,120.0,可用,A,6.0,30.0,40.0
,,,,,,A063050,,,,存货位,210.0,90.0,120.0,可用,A,6.0,30.0,50.0
,,,,,,A063100,,,,存货位,210.0,90.0,160.0,可用,A,6.0,31.0,0.0
,,,,,,A063110,,,,存货位,210.0,90.0,120.0,可用,A,6.0,31.0,10.0
,,,,,,A063120,,,,存货位,210.0,90.0,120.0,可用,A,6.0,31.0,20.0
,,,,,,A063130,,,,存货位,210.0,90.0,120.0,可用,A,6.0,31.0,30.0
,,,,,,A063140,,,,存货位,210.0,90.0,120.0,可用,A,6.0,31.0,40.0
,,,,,,A063150,,,,存货位,210.0,90.0,120.0,可用,A,6.0,31.0,50.0
,,,,,,A063200,,,,存货位,210.0,90.0,160.0,可用,A,6.0,32.0,0.0
,,,,,,A063210,,,,存货位,210.0,90.0,120.0,可用,A,6.0,32.0,10.0
,,,,,,A063220,,,,存货位,210.0,90.0,120.0,可用,A,6.0,32.0,20.0
,,,,,,A063230,,,,存货位,210.0,90.0,120.0,可用,A,6.0,32.0,30.0
,,,,,,A063240,,,,存货位,210.0,90.0,120.0,可用,A,6.0,32.0,40.0
,,,,,,A063250,,,,存货位,210.0,90.0,120.0,可用,A,6.0,32.0,50.0
,,,,,,A063300,,,,存货位,210.0,90.0,160.0,可用,A,6.0,33.0,0.0
,,,,,,A063310,,,,存货位,210.0,90.0,120.0,可用,A,6.0,33.0,10.0
,,,,,,A063320,,,,存货位,210.0,90.0,120.0,可用,A,6.0,33.0,20.0
,,,,,,A063330,,,,存货位,210.0,90.0,120.0,可用,A,6.0,33.0,30.0
,,,,,,A063340,,,,存货位,210.0,90.0,120.0,可用,A,6.0,33.0,40.0
,,,,,,A063350,,,,存货位,210.0,90.0,120.0,可用,A,6.0,33.0,50.0
,,,,,,A063400,,,,存货位,210.0,90.0,160.0,可用,A,6.0,34.0,0.0
,,,,,,A063410,,,,存货位,210.0,90.0,120.0,可用,A,6.0,34.0,10.0
,,,,,,A063420,,,,存货位,210.0,90.0,120.0,可用,A,6.0,34.0,20.0
,,,,,,A063430,,,,存货位,210.0,90.0,120.0,可用,A,6.0,34.0,30.0
,,,,,,A063440,,,,存货位,210.0,90.0,120.0,可用,A,6.0,34.0,40.0
,,,,,,A063450,,,,存货位,210.0,90.0,120.0,可用,A,6.0,34.0,50.0
,,,,,,A063500,,,,存货位,210.0,90.0,160.0,可用,A,6.0,35.0,0.0
,,,,,,A063510,,,,存货位,210.0,90.0,120.0,可用,A,6.0,35.0,10.0
,,,,,,A063520,,,,存货位,210.0,90.0,120.0,可用,A,6.0,35.0,20.0
,,,,,,A063530,,,,存货位,210.0,90.0,120.0,可用,A,6.0,35.0,30.0
,,,,,,A063540,,,,存货位,210.0,90.0,120.0,可用,A,6.0,35.0,40.0
,,,,,,A063550,,,,存货位,210.0,90.0,120.0,可用,A,6.0,35.0,50.0
,,,,,,A063600,,,,存货位,210.0,90.0,160.0,可用,A,6.0,36.0,0.0
,,,,,,A063610,,,,存货位,210.0,90.0,120.0,可用,A,6.0,36.0,10.0
,,,,,,A063620,,,,存货位,210.0,90.0,120.0,可用,A,6.0,36.0,20.0
,,,,,,A063630,,,,存货位,210.0,90.0,120.0,可用,A,6.0,36.0,30.0
,,,,,,A063640,,,,存货位,210.0,90.0,120.0,可用,A,6.0,36.0,40.0
,,,,,,A063650,,,,存货位,210.0,90.0,120.0,可用,A,6.0,36.0,50.0
,,,,,,A063700,,,,存货位,210.0,90.0,160.0,可用,A,6.0,37.0,0.0
,,,,,,A063710,,,,存货位,210.0,90.0,120.0,可用,A,6.0,37.0,10.0
,,,,,,A063720,,,,存货位,210.0,90.0,120.0,可用,A,6.0,37.0,20.0
,,,,,,A063730,,,,存货位,210.0,90.0,120.0,可用,A,6.0,37.0,30.0
,,,,,,A063740,,,,存货位,210.0,90.0,120.0,可用,A,6.0,37.0,40.0
,,,,,,A063750,,,,存货位,210.0,90.0,120.0,可用,A,6.0,37.0,50.0
,,,,,,A063800,,,,存货位,210.0,90.0,160.0,可用,A,6.0,38.0,0.0
,,,,,,A063810,,,,存货位,210.0,90.0,120.0,可用,A,6.0,38.0,10.0
,,,,,,A063820,,,,存货位,210.0,90.0,120.0,可用,A,6.0,38.0,20.0
,,,,,,A063830,,,,存货位,210.0,90.0,120.0,可用,A,6.0,38.0,30.0
,,,,,,A063840,,,,存货位,210.0,90.0,120.0,可用,A,6.0,38.0,40.0
,,,,,,A063850,,,,存货位,210.0,90.0,120.0,可用,A,6.0,38.0,50.0
,,,,,,A063900,,,,存货位,210.0,90.0,160.0,可用,A,6.0,39.0,0.0
,,,,,,A063910,,,,存货位,210.0,90.0,120.0,可用,A,6.0,39.0,10.0
,,,,,,A063920,,,,存货位,210.0,90.0,120.0,可用,A,6.0,39.0,20.0
,,,,,,A063930,,,,存货位,210.0,90.0,120.0,可用,A,6.0,39.0,30.0
,,,,,,A063940,,,,存货位,210.0,90.0,120.0,可用,A,6.0,39.0,40.0
,,,,,,A063950,,,,存货位,210.0,90.0,120.0,可用,A,6.0,39.0,50.0
